GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
controle-despesas,br.com.cdb.controledespesas.adapter.input.mapper,UsuarioMapperImpl,76,3,8,0,26,1,8,1,4,1
controle-despesas,br.com.cdb.controledespesas.adapter.input.mapper,DespesaMapperImpl,144,3,8,0,42,1,8,1,4,1
controle-despesas,br.com.cdb.controledespesas.adapter.input.mapper,CategoriaMapper,0,5,0,0,0,1,0,1,0,1
controle-despesas,br.com.cdb.controledespesas.adapter.input.mapper,DespesaMapper,0,5,0,0,0,1,0,1,0,1
controle-despesas,br.com.cdb.controledespesas.adapter.input.mapper,CategoriaMapperImpl,72,3,8,0,25,1,8,1,4,1
controle-despesas,br.com.cdb.controledespesas.core.domain.exception,BusinessRuleException,0,4,0,0,0,2,0,1,0,1
controle-despesas,br.com.cdb.controledespesas.adapter.input.response,DespesaResponse,42,24,0,0,7,2,12,2,12,2
controle-despesas,br.com.cdb.controledespesas.adapter.input.response,SomaDespesasResponse,14,12,0,0,3,2,4,2,4,2
controle-despesas,br.com.cdb.controledespesas.adapter.input.response,ErroResponse,43,0,0,0,6,0,9,0,9,0
controle-despesas,br.com.cdb.controledespesas.adapter.input.response,CategoriaResponse,14,9,0,0,3,1,4,1,4,1
controle-despesas,br.com.cdb.controledespesas.adapter.input.response,UsuarioResponse,14,9,0,0,3,1,4,1,4,1
controle-despesas,br.com.cdb.controledespesas.adapter.output.repository,UsuarioRepository,145,9,0,0,30,4,7,1,7,1
controle-despesas,br.com.cdb.controledespesas.adapter.output.repository,DespesaRepository,338,9,4,0,66,4,13,1,11,1
controle-despesas,br.com.cdb.controledespesas.adapter.output.repository,CategoriaRepository,146,9,0,0,32,4,9,1,9,1
controle-despesas,br.com.cdb.controledespesas.adapter.input.controller,UsuarioController,0,57,0,0,0,15,0,4,0,4
controle-despesas,br.com.cdb.controledespesas.adapter.input.controller,CategoriaController,0,67,0,0,0,18,0,5,0,5
controle-despesas,br.com.cdb.controledespesas.adapter.input.controller,DespesaController,0,63,0,0,0,16,0,5,0,5
controle-despesas,br.com.cdb.controledespesas.core.domain.usecase,UsuarioUseCase,0,109,0,2,0,25,0,8,0,7
controle-despesas,br.com.cdb.controledespesas.core.domain.usecase,DespesaUseCase,97,251,4,8,20,67,7,11,3,9
controle-despesas,br.com.cdb.controledespesas.core.domain.usecase,CategoriaUseCase,0,141,0,6,0,33,0,11,0,8
controle-despesas,br.com.cdb.controledespesas.adapter.input.request,SomaDespesasRequest,23,0,0,0,4,0,5,0,5,0
controle-despesas,br.com.cdb.controledespesas.adapter.input.request,FiltroDespesasRequest,4,27,0,0,0,6,1,8,1,8
controle-despesas,br.com.cdb.controledespesas.adapter.input.request,CategoriaRequest,3,7,0,0,1,2,1,2,1,2
controle-despesas,br.com.cdb.controledespesas.adapter.input.request,UsuarioRequest,6,11,0,0,2,2,2,3,2,3
controle-despesas,br.com.cdb.controledespesas.adapter.input.request,DespesaRequest,26,40,0,0,2,7,7,7,7,7
controle-despesas,br.com.cdb.controledespesas.adapter.output.entity,UsuarioEntity,26,0,0,0,5,0,6,0,6,0
controle-despesas,br.com.cdb.controledespesas.adapter.output.entity,CategoriaEntity,26,0,0,0,5,0,6,0,6,0
controle-despesas,br.com.cdb.controledespesas.adapter.output.entity,DespesaEntity,76,0,0,0,10,0,16,0,16,0
controle-despesas,br.com.cdb.controledespesas.infraestructure,UsuarioUseCaseBean,0,5,0,0,0,2,0,1,0,1
controle-despesas,br.com.cdb.controledespesas.infraestructure,DespesaUseCaseBean,0,6,0,0,0,2,0,1,0,1
controle-despesas,br.com.cdb.controledespesas.infraestructure,CategoriaUseCaseBean,0,5,0,0,0,2,0,1,0,1
controle-despesas,br.com.cdb.controledespesas.core.domain.model,Despesa,24,52,0,0,10,21,7,9,7,9
controle-despesas,br.com.cdb.controledespesas.core.domain.model,Categoria,17,15,0,0,8,6,4,3,4,3
controle-despesas,br.com.cdb.controledespesas.core.domain.model,Usuario,0,26,0,0,0,11,0,6,0,6
controle-despesas,br.com.cdb.controledespesas,ControleDespesasApplication,5,3,0,0,2,1,1,1,1,1
controle-despesas,br.com.cdb.controledespesas.adapter.input.exception,ValidationExceptionHandler,53,3,0,0,16,1,3,1,3,1
